transaction_id,client_id,date,heure,montant,devise,type_transaction,lieu,canal,moyen_paiement,categorie_commerce,device_utilise,score_risque_client,is_fraud
T000230,C2648,22/07/2025,05:31:10,5821.88,MAD,retrait,Rabat,en ligne,Visa,santé,ATM,7,0
T000231,C6539,22/07/2025,12:24:32,5191.15,MAD,paiement en ligne,Marrakech,en ligne,Visa,mode,Web,6,0
T000232,C5199,22/07/2025,05:40:07,7599.82,EUR,paiement en ligne,Casablanca,carte,Amex,électronique,Android,2,0
T000233,C9445,22/07/2025,10:21:50,2860.84,EUR,retrait,Tanger,guichet,MasterCard,alimentaire,ATM,8,0
T000234,C3557,22/07/2025,08:16:11,3562.85,MAD,virement,Fès,application mobile,MasterCard,voyage,Web,1,0
T000235,C6592,22/07/2025,13:31:14,8946.24,MAD,paiement en ligne,Casablanca,application mobile,,santé,ATM,1,0
T000236,C1098,22/07/2025,15:53:21,9467.24,MAD,paiement en ligne,Casablanca,carte,Amex,santé,Android,6,0
T000237,C3200,22/07/2025,19:32:09,8930.95,MAD,paiement en ligne,Fès,application mobile,MasterCard,électronique,ATM,5,1
T000238,C3961,22/07/2025,07:31:49,4223.51,EUR,paiement en ligne,Tanger,carte,Amex,alimentaire,Web,9,0
T000239,C5973,22/07/2025,00:01:32,7814.64,MAD,paiement en ligne,Rabat,guichet,MasterCard,électronique,ATM,7,0
T000240,C5433,23/07/2025,00:40:12,4789.54,MAD,retrait,Rabat,application mobile,Visa,électronique,ATM,2,0
T000241,C3869,23/07/2025,00:12:51,5000.52,MAD,retrait,Tanger,guichet,Cash,voyage,Web,7,0
T000242,C1956,23/07/2025,21:38:01,2086.57,EUR,retrait,Marrakech,en ligne,Cash,santé,Android,3,0
T000243,C9352,23/07/2025,05:38:25,5931.75,MAD,paiement en ligne,Rabat,application mobile,Amex,mode,Android,1,0
T000244,C6699,23/07/2025,13:57:49,1902.05,MAD,virement,Fès,en ligne,MasterCard,santé,ATM,8,0
T000245,C7944,23/07/2025,14:33:41,3349.07,MAD,paiement en ligne,Casablanca,application mobile,Cash,santé,iOS,3,0
T000246,C5493,23/07/2025,22:43:48,8557.55,EUR,paiement en ligne,Fès,guichet,Visa,voyage,ATM,8,0
T000247,C5911,23/07/2025,07:10:02,2110.4,USD,virement,Rabat,carte,Visa,mode,iOS,7,0
T000248,C4987,23/07/2025,05:08:05,758.02,MAD,paiement en ligne,,guichet,Visa,alimentaire,ATM,2,0
T000249,C7015,23/07/2025,08:38:30,736.63,EUR,paiement en ligne,Fès,guichet,Amex,mode,Android,1,0
T000250,C2218,23/07/2025,08:49:11,9410.81,USD,virement,Fès,guichet,Amex,alimentaire,ATM,7,0
T000251,C5496,24/07/2025,07:07:49,5093.86,USD,paiement en ligne,Fès,application mobile,MasterCard,mode,ATM,1,0
T000252,C5735,24/07/2025,19:46:58,4123.65,EUR,retrait,Tanger,carte,Visa,électronique,iOS,6,0
T000253,C5555,24/07/2025,06:10:19,8118.24,EUR,paiement en ligne,Tanger,en ligne,MasterCard,mode,Android,10,0
T000254,C9050,24/07/2025,15:03:05,8366.47,MAD,retrait,Fès,guichet,MasterCard,voyage,iOS,10,0
T000255,C4446,24/07/2025,21:25:02,3355.3,EUR,paiement en ligne,Marrakech,application mobile,Visa,alimentaire,ATM,8,0
T000256,C2045,24/07/2025,08:41:13,6951.5,MAD,paiement en ligne,Fès,en ligne,,santé,Web,7,0
T000257,C7893,24/07/2025,10:17:53,7722.67,EUR,retrait,Fès,guichet,Cash,voyage,ATM,4,0
T000258,C2693,24/07/2025,11:22:11,6563.77,MAD,paiement en ligne,Casablanca,en ligne,Amex,alimentaire,ATM,1,0
T000259,C4436,24/07/2025,12:24:44,1558.37,EUR,paiement en ligne,Fès,guichet,MasterCard,alimentaire,iOS,1,0
T000260,C9754,24/07/2025,18:57:18,8765.04,EUR,paiement en ligne,Casablanca,en ligne,Visa,santé,Web,4,0
T000261,C6895,24/07/2025,22:45:35,5413.99,MAD,paiement en ligne,Tanger,en ligne,Amex,électronique,Web,5,1
T000262,C4354,25/07/2025,12:07:28,2860.6,EUR,paiement en ligne,Rabat,carte,Amex,voyage,iOS,7,0
T000263,C1225,25/07/2025,22:52:54,4281.02,MAD,paiement en ligne,,carte,MasterCard,santé,Android,4,0
T000264,C5893,25/07/2025,18:43:17,423.83,EUR,virement,Fès,guichet,Cash,santé,Web,10,0
T000265,C8022,25/07/2025,05:17:18,1322.27,MAD,paiement en ligne,Fès,application mobile,MasterCard,électronique,Web,1,0
T000266,C6600,25/07/2025,21:36:31,7667.19,MAD,paiement en ligne,Fès,carte,Cash,voyage,iOS,10,0
T000267,C8996,25/07/2025,08:58:02,50.12,USD,paiement en ligne,Casablanca,en ligne,Amex,santé,Android,7,0
T000268,C8683,25/07/2025,09:50:34,4194.83,,paiement en ligne,Rabat,carte,MasterCard,électronique,Android,2,0
T000269,C5642,25/07/2025,21:14:32,5248.98,EUR,virement,Casablanca,carte,Visa,voyage,ATM,2,0
T000270,C8679,25/07/2025,06:11:48,593.61,MAD,paiement en ligne,Fès,guichet,MasterCard,mode,ATM,8,0
T000271,C9208,25/07/2025,20:30:57,9732.13,MAD,virement,Rabat,carte,,alimentaire,iOS,10,0
T000272,C8339,25/07/2025,19:36:03,2299.95,MAD,paiement en ligne,Marrakech,carte,Cash,électronique,Android,10,0
T000273,C3205,26/07/2025,11:19:23,3076.78,MAD,retrait,Casablanca,en ligne,MasterCard,alimentaire,iOS,10,0
T000274,C2069,26/07/2025,17:48:50,3074.23,MAD,retrait,Casablanca,carte,Cash,mode,ATM,5,0
T000275,C4444,26/07/2025,08:35:57,2342.65,MAD,virement,Rabat,en ligne,Amex,santé,iOS,10,0
T000276,C2060,26/07/2025,20:33:35,64.66,MAD,retrait,Tanger,carte,MasterCard,santé,iOS,2,0
T000277,C3327,26/07/2025,01:14:33,7306.98,MAD,retrait,Marrakech,carte,Cash,voyage,Web,5,0
T000278,C4420,26/07/2025,03:05:38,9670.11,USD,paiement en ligne,Rabat,application mobile,MasterCard,électronique,Web,8,0
T000279,C1301,26/07/2025,09:50:50,2281.72,USD,paiement en ligne,Fès,carte,,électronique,Web,6,0
T000280,C1606,26/07/2025,21:11:02,6647.32,MAD,virement,Casablanca,en ligne,Visa,voyage,ATM,3,0
T000281,C4170,26/07/2025,12:17:39,7431.87,EUR,paiement en ligne,,en ligne,MasterCard,alimentaire,iOS,8,0
T000282,C1699,26/07/2025,20:14:32,8491.83,MAD,paiement en ligne,Marrakech,guichet,Visa,santé,Web,9,0
T000283,C6088,26/07/2025,02:25:07,4255.16,EUR,retrait,Rabat,guichet,Cash,santé,Web,5,0
T000284,C1190,27/07/2025,03:47:29,3064.16,EUR,paiement en ligne,Fès,application mobile,Visa,électronique,Web,2,0
T000285,C1980,27/07/2025,22:41:43,,USD,virement,Casablanca,en ligne,Visa,électronique,ATM,2,0
T000286,C3975,27/07/2025,13:13:01,7140.58,MAD,retrait,,en ligne,Visa,voyage,ATM,7,0
T000287,C7102,27/07/2025,22:36:04,8176.96,EUR,retrait,Casablanca,en ligne,Amex,mode,iOS,1,0
T000288,C2184,27/07/2025,05:44:40,1857.06,MAD,virement,Fès,application mobile,Visa,alimentaire,iOS,10,0
T000289,C4327,27/07/2025,21:46:13,3740.86,USD,paiement en ligne,Casablanca,en ligne,MasterCard,mode,iOS,2,0
T000290,C4394,27/07/2025,06:24:19,9024.3,MAD,paiement en ligne,Marrakech,guichet,Visa,mode,Web,10,0
T000291,C9319,27/07/2025,01:38:05,8076.6,EUR,paiement en ligne,Marrakech,application mobile,MasterCard,électronique,Android,4,0
T000292,C2816,27/07/2025,16:58:24,9849.34,EUR,paiement en ligne,Marrakech,guichet,Visa,électronique,ATM,1,0
T000293,C6854,27/07/2025,01:34:36,7554.77,,retrait,Fès,guichet,Amex,électronique,Web,4,0
T000294,C7709,27/07/2025,04:00:39,3962.29,MAD,virement,Tanger,application mobile,Cash,mode,Web,10,0
T000295,C1569,28/07/2025,11:55:35,5926.85,,paiement en ligne,Casablanca,carte,Visa,alimentaire,iOS,5,0
T000296,C6442,28/07/2025,12:22:46,6627.09,MAD,paiement en ligne,Rabat,carte,Visa,électronique,iOS,9,1
T000297,C2895,28/07/2025,10:09:02,830.64,EUR,virement,Casablanca,guichet,Amex,santé,Web,1,0
T000298,C3733,28/07/2025,21:13:15,5467.74,MAD,paiement en ligne,,carte,Visa,alimentaire,ATM,5,0
T000299,C4863,28/07/2025,09:28:09,7107.74,MAD,paiement en ligne,Rabat,en ligne,MasterCard,santé,ATM,2,0
T000300,C8455,28/07/2025,11:29:40,1714.85,MAD,paiement en ligne,Marrakech,application mobile,Visa,alimentaire,Web,9,0
T000301,C5014,28/07/2025,00:04:19,7817.29,MAD,virement,Marrakech,guichet,Visa,électronique,Android,6,0
T000302,C2686,28/07/2025,07:42:11,5858.54,MAD,retrait,Casablanca,en ligne,Cash,voyage,Android,2,0
T000303,C4009,28/07/2025,00:56:53,9524.61,MAD,retrait,Casablanca,carte,Cash,électronique,ATM,3,0
T000304,C8806,28/07/2025,19:27:56,472.1,MAD,virement,Rabat,en ligne,Visa,mode,iOS,8,0
T000305,C1154,28/07/2025,10:36:46,2690.0,EUR,paiement en ligne,Rabat,carte,Amex,mode,Android,1,0
T000306,C2409,29/07/2025,04:11:36,6035.46,EUR,paiement en ligne,Casablanca,guichet,Cash,alimentaire,Android,3,0
T000307,C1784,29/07/2025,16:48:55,3000.77,MAD,virement,Casablanca,en ligne,Visa,mode,iOS,10,0
T000308,C9096,29/07/2025,11:55:27,7158.52,MAD,paiement en ligne,Tanger,application mobile,Cash,électronique,Android,1,0
T000309,C8560,29/07/2025,14:14:05,7602.1,MAD,retrait,,guichet,Visa,santé,Web,8,1
T000310,C8343,29/07/2025,11:58:19,1070.03,MAD,virement,Rabat,en ligne,Cash,électronique,Android,1,0
T000311,C8206,29/07/2025,17:13:01,5162.85,,retrait,Rabat,en ligne,Cash,alimentaire,iOS,5,0
T000312,C6596,29/07/2025,08:36:19,5113.46,EUR,retrait,Casablanca,carte,MasterCard,mode,Web,4,1
T000313,C6801,29/07/2025,00:54:34,3724.34,MAD,virement,Marrakech,guichet,Visa,santé,Android,7,0
T000314,C3806,29/07/2025,05:36:52,9332.6,MAD,virement,Tanger,guichet,Visa,voyage,ATM,5,0
T000315,C1537,29/07/2025,04:32:48,8283.69,MAD,paiement en ligne,Casablanca,guichet,Visa,santé,Web,8,0
T000316,C6986,30/07/2025,18:13:11,6987.23,EUR,paiement en ligne,Casablanca,guichet,Visa,santé,Web,1,0
T000317,C2841,30/07/2025,09:19:52,,USD,paiement en ligne,Marrakech,carte,Cash,électronique,ATM,5,0
T000318,C9716,30/07/2025,17:23:58,4644.08,MAD,retrait,Fès,application mobile,,voyage,ATM,4,1
T000319,C7971,30/07/2025,10:33:24,9213.9,MAD,paiement en ligne,Casablanca,guichet,MasterCard,alimentaire,Android,3,0
T000320,C6625,30/07/2025,17:28:56,6961.22,EUR,retrait,Fès,carte,Amex,alimentaire,Android,5,0
T000321,C3950,30/07/2025,06:30:55,7303.36,USD,paiement en ligne,Rabat,application mobile,Visa,santé,iOS,10,0
T000322,C8992,30/07/2025,14:42:49,8623.82,MAD,retrait,Rabat,application mobile,Amex,santé,iOS,3,0
T000323,C5780,30/07/2025,22:43:37,2777.01,MAD,paiement en ligne,Marrakech,carte,Cash,mode,Web,8,0
T000324,C3368,30/07/2025,19:22:44,8080.36,MAD,retrait,Tanger,guichet,Amex,voyage,ATM,3,0
T000325,C7655,30/07/2025,19:15:49,,MAD,retrait,Rabat,application mobile,Visa,santé,ATM,1,0
T000326,C9173,30/07/2025,09:54:07,3486.15,MAD,paiement en ligne,Tanger,guichet,,mode,iOS,9,0
T000327,C5495,31/07/2025,17:20:00,3389.32,MAD,paiement en ligne,Rabat,guichet,MasterCard,voyage,Web,9,0
T000328,C7002,31/07/2025,22:07:28,9786.33,MAD,retrait,Marrakech,en ligne,Visa,alimentaire,Web,6,0
T000329,C7614,31/07/2025,05:04:46,8572.55,MAD,paiement en ligne,Fès,guichet,Cash,mode,iOS,10,0
T000330,C6919,31/07/2025,21:46:33,7026.64,EUR,paiement en ligne,Tanger,en ligne,Visa,voyage,iOS,1,0
T000331,C1853,31/07/2025,00:54:54,7284.21,MAD,virement,Tanger,application mobile,Cash,mode,iOS,8,0
T000332,C5146,31/07/2025,10:09:29,5642.62,MAD,retrait,Casablanca,carte,MasterCard,santé,Android,2,0
T000333,C4769,31/07/2025,17:17:16,9473.55,MAD,virement,Tanger,en ligne,Cash,électronique,Web,9,0
T000334,C1574,31/07/2025,07:46:39,4987.77,MAD,paiement en ligne,Tanger,carte,Visa,alimentaire,Web,8,0
T000335,C2148,31/07/2025,16:11:26,3836.15,USD,paiement en ligne,Marrakech,application mobile,Visa,santé,Web,3,0
T000336,C7293,31/07/2025,07:24:45,1672.2,MAD,virement,Casablanca,guichet,Visa,santé,iOS,5,0
T000337,C7457,31/07/2025,03:32:00,7872.75,MAD,retrait,Tanger,application mobile,Cash,voyage,iOS,9,0
T000338,C8509,01/08/2025,18:30:15,7357.72,EUR,retrait,Tanger,carte,Cash,mode,iOS,1,0
T000339,C5777,01/08/2025,13:52:47,3874.33,MAD,paiement en ligne,Rabat,application mobile,Cash,alimentaire,iOS,9,0
T000340,C4854,01/08/2025,04:40:25,300.67,USD,paiement en ligne,,guichet,MasterCard,santé,ATM,4,0
T000341,C3491,01/08/2025,01:49:05,8398.02,MAD,paiement en ligne,Casablanca,application mobile,Amex,voyage,iOS,4,0
T000342,C4124,01/08/2025,08:32:40,163.61,MAD,paiement en ligne,Casablanca,guichet,Amex,alimentaire,Android,4,0
T000343,C6691,01/08/2025,15:12:08,7051.81,MAD,paiement en ligne,Fès,en ligne,Visa,mode,ATM,10,0
T000344,C4051,01/08/2025,20:12:30,9704.06,MAD,paiement en ligne,Fès,carte,MasterCard,santé,ATM,9,0
T000345,C1004,01/08/2025,08:10:03,4404.73,EUR,virement,Fès,guichet,Cash,santé,iOS,6,0
T000346,C6222,01/08/2025,01:37:45,2387.99,EUR,paiement en ligne,Casablanca,guichet,Visa,santé,Web,8,0
T000347,C6315,01/08/2025,03:37:18,7063.47,MAD,retrait,,application mobile,MasterCard,alimentaire,iOS,4,0
T000348,C5869,01/08/2025,05:33:17,8180.43,MAD,virement,Casablanca,en ligne,Visa,alimentaire,Web,3,1
T000349,C1876,02/08/2025,12:40:22,5486.98,EUR,retrait,Casablanca,guichet,MasterCard,alimentaire,iOS,1,0
T000350,C8027,02/08/2025,18:44:10,9672.0,USD,paiement en ligne,Casablanca,en ligne,MasterCard,alimentaire,iOS,10,0
T000351,C5142,02/08/2025,00:23:53,564.1,MAD,retrait,Fès,en ligne,,voyage,Web,7,0
T000352,C7966,02/08/2025,06:24:20,5072.72,MAD,retrait,Tanger,application mobile,Visa,électronique,Web,4,0
T000353,C8079,02/08/2025,14:00:11,7198.62,MAD,retrait,Marrakech,guichet,Cash,voyage,Web,8,0
T000354,C8987,02/08/2025,06:14:20,8633.27,EUR,retrait,Tanger,application mobile,Amex,santé,Web,3,0
T000355,C7799,02/08/2025,18:28:24,1833.59,MAD,virement,Casablanca,carte,Amex,voyage,Android,1,0
T000356,C5465,02/08/2025,00:48:31,8010.03,MAD,retrait,Fès,carte,Cash,mode,Web,5,0
T000357,C1635,02/08/2025,16:34:43,5549.44,,paiement en ligne,Fès,guichet,MasterCard,alimentaire,iOS,2,0
T000358,C2693,02/08/2025,05:25:10,3995.71,MAD,retrait,Fès,en ligne,,mode,iOS,3,0
T000359,C5752,02/08/2025,02:07:45,1360.56,MAD,paiement en ligne,Casablanca,guichet,Visa,mode,Android,6,0
T000360,C9311,03/08/2025,13:09:01,8659.69,MAD,virement,Marrakech,guichet,Cash,santé,Web,3,0
T000361,C1830,03/08/2025,13:08:02,1614.87,MAD,paiement en ligne,Fès,carte,MasterCard,alimentaire,iOS,3,0
T000362,C6177,03/08/2025,20:25:07,3132.39,MAD,paiement en ligne,Marrakech,carte,Cash,mode,Android,6,0
T000363,C9932,03/08/2025,15:01:05,2935.95,MAD,virement,Fès,en ligne,MasterCard,santé,iOS,5,0
T000364,C9308,03/08/2025,20:28:25,8720.57,MAD,retrait,Casablanca,en ligne,MasterCard,alimentaire,Android,10,0
T000365,C6949,03/08/2025,11:04:33,6743.39,MAD,paiement en ligne,Fès,guichet,,électronique,Android,9,0
T000366,C3838,03/08/2025,15:36:14,7976.98,EUR,paiement en ligne,Casablanca,application mobile,Cash,santé,ATM,1,0
T000367,C2150,03/08/2025,11:35:14,2542.16,EUR,virement,Tanger,guichet,Cash,voyage,ATM,3,0
T000368,C8560,03/08/2025,10:47:22,6267.5,,paiement en ligne,Fès,en ligne,Visa,alimentaire,Web,3,0
T000369,C2931,03/08/2025,05:45:49,5738.87,MAD,virement,Casablanca,application mobile,MasterCard,mode,ATM,6,0
T000370,C2664,03/08/2025,11:58:42,8336.66,MAD,paiement en ligne,,carte,Cash,mode,Android,8,0
T000371,C2081,04/08/2025,12:20:22,9065.57,MAD,retrait,Fès,en ligne,Visa,voyage,iOS,3,1
T000372,C1512,04/08/2025,10:54:15,170.96,MAD,virement,Casablanca,en ligne,MasterCard,voyage,iOS,3,1
T000373,C8805,04/08/2025,14:52:14,6756.5,EUR,paiement en ligne,Fès,application mobile,Visa,mode,Web,6,0
T000374,C6237,04/08/2025,03:10:50,565.77,MAD,paiement en ligne,Rabat,en ligne,Cash,alimentaire,ATM,8,0
T000375,C1559,04/08/2025,14:03:20,,MAD,paiement en ligne,Tanger,en ligne,Visa,santé,Web,6,0
T000376,C4672,04/08/2025,12:21:18,2911.95,MAD,retrait,Tanger,en ligne,Amex,voyage,Android,10,0
T000377,C8404,04/08/2025,01:13:03,3102.43,EUR,retrait,,en ligne,MasterCard,voyage,ATM,3,0
T000378,C4343,04/08/2025,15:52:51,3561.94,MAD,retrait,Fès,en ligne,Amex,voyage,Web,4,0
T000379,C5070,04/08/2025,13:26:28,6231.86,EUR,paiement en ligne,Fès,en ligne,Amex,électronique,iOS,1,0
T000380,C1580,04/08/2025,14:27:34,3373.8,MAD,paiement en ligne,Marrakech,en ligne,MasterCard,alimentaire,iOS,8,0
T000381,C8004,04/08/2025,07:15:41,7340.36,EUR,paiement en ligne,Casablanca,en ligne,,alimentaire,Web,4,0
T000382,C9130,05/08/2025,03:29:17,4075.05,EUR,paiement en ligne,Fès,carte,Visa,alimentaire,Web,6,0
T000383,C4147,05/08/2025,01:48:12,730.11,MAD,retrait,Fès,en ligne,MasterCard,alimentaire,Web,3,0
T000384,C5249,05/08/2025,03:25:24,7848.41,MAD,virement,Casablanca,carte,Amex,alimentaire,Android,6,0
T000385,C2679,05/08/2025,10:06:30,2893.3,MAD,retrait,Rabat,carte,Amex,mode,Android,9,0
T000386,C4506,05/08/2025,11:09:38,4356.03,MAD,paiement en ligne,Tanger,guichet,Cash,voyage,iOS,9,0
T000387,C8253,05/08/2025,12:30:06,6870.17,,virement,Tanger,guichet,,mode,Android,10,0
T000388,C3744,05/08/2025,16:41:41,3357.94,EUR,retrait,Casablanca,carte,Amex,électronique,Android,3,0
T000389,C6188,05/08/2025,03:19:03,613.03,EUR,virement,Casablanca,carte,Cash,santé,ATM,3,0
T000390,C3141,05/08/2025,21:06:53,3770.51,EUR,retrait,Rabat,en ligne,Cash,voyage,Android,4,0
T000391,C7617,05/08/2025,00:43:55,9447.26,MAD,paiement en ligne,Tanger,guichet,Visa,électronique,ATM,7,0
T000392,C3479,06/08/2025,12:41:46,6435.26,MAD,paiement en ligne,Casablanca,application mobile,Amex,mode,Android,3,0
T000393,C7484,06/08/2025,12:54:21,,EUR,retrait,Marrakech,guichet,Visa,santé,iOS,10,0
T000394,C8421,06/08/2025,21:20:21,6341.21,MAD,paiement en ligne,Casablanca,carte,Amex,électronique,Web,8,0
T000395,C5452,06/08/2025,08:25:08,2029.97,EUR,paiement en ligne,Fès,carte,,santé,iOS,8,0
T000396,C6881,06/08/2025,14:09:23,4212.42,MAD,retrait,Rabat,en ligne,Visa,électronique,Android,6,1
T000397,C7665,06/08/2025,09:07:23,7521.85,MAD,retrait,Marrakech,en ligne,MasterCard,mode,Web,4,0
T000398,C3849,06/08/2025,15:48:25,1058.66,USD,retrait,Casablanca,guichet,Visa,santé,Web,5,1
T000399,C8390,06/08/2025,04:03:49,2814.64,MAD,paiement en ligne,Fès,en ligne,MasterCard,électronique,Web,2,0
T000400,C7905,06/08/2025,18:35:38,2799.38,USD,paiement en ligne,Casablanca,application mobile,Cash,mode,ATM,6,0
T000401,C3489,06/08/2025,09:24:17,4348.59,USD,retrait,Marrakech,application mobile,Amex,voyage,iOS,3,0
T000402,C5611,06/08/2025,18:35:09,9804.67,EUR,virement,Tanger,en ligne,Cash,mode,ATM,6,0
T000403,C3839,07/08/2025,00:54:49,721.65,EUR,retrait,Casablanca,application mobile,Amex,mode,Web,5,0
T000404,C9527,07/08/2025,04:46:48,5211.07,MAD,virement,Tanger,application mobile,Cash,voyage,iOS,2,0
T000405,C6878,07/08/2025,02:43:33,1834.68,EUR,retrait,Fès,guichet,Amex,mode,iOS,5,0
T000406,C7303,07/08/2025,00:54:20,9708.23,MAD,retrait,Casablanca,application mobile,Visa,voyage,Android,5,0
T000407,C1851,07/08/2025,16:21:47,1177.37,MAD,paiement en ligne,Rabat,carte,Amex,voyage,ATM,9,0
T000408,C2687,07/08/2025,04:14:34,4065.83,EUR,retrait,Casablanca,carte,Amex,voyage,ATM,8,0
T000409,C7833,07/08/2025,06:31:10,7391.96,MAD,retrait,Marrakech,guichet,Cash,électronique,Android,7,0
T000410,C3427,07/08/2025,09:08:13,7060.32,MAD,retrait,Marrakech,en ligne,Cash,santé,ATM,3,0
T000411,C5000,07/08/2025,12:56:24,,MAD,paiement en ligne,Casablanca,guichet,Cash,électronique,Web,10,0
T000412,C6052,07/08/2025,01:34:06,3497.92,MAD,retrait,Fès,en ligne,MasterCard,voyage,Web,4,0
T000413,C3738,07/08/2025,20:17:02,4006.24,EUR,paiement en ligne,Tanger,en ligne,MasterCard,santé,ATM,6,0
T000414,C6732,08/08/2025,09:53:38,,MAD,retrait,Tanger,en ligne,Amex,santé,Android,3,0
T000415,C6387,08/08/2025,08:48:10,,USD,paiement en ligne,Fès,en ligne,Amex,voyage,iOS,9,0
T000416,C9002,08/08/2025,06:23:45,4856.24,EUR,virement,,en ligne,Visa,santé,ATM,8,0
T000417,C6536,08/08/2025,18:03:25,2721.91,EUR,paiement en ligne,Fès,guichet,Visa,santé,iOS,6,0
T000418,C4913,08/08/2025,05:41:31,,MAD,paiement en ligne,Rabat,en ligne,Amex,électronique,Android,4,0
T000419,C2066,08/08/2025,06:44:45,6584.72,EUR,paiement en ligne,Tanger,application mobile,MasterCard,santé,iOS,7,0
T000420,C8723,08/08/2025,03:39:36,9686.95,MAD,retrait,Fès,application mobile,Amex,voyage,Android,3,0
T000421,C5380,08/08/2025,00:35:02,6056.19,EUR,paiement en ligne,Fès,en ligne,Visa,alimentaire,Android,10,0
T000422,C5107,08/08/2025,08:07:32,815.95,MAD,paiement en ligne,Fès,application mobile,MasterCard,alimentaire,Web,8,0
T000423,C6726,08/08/2025,05:40:38,802.06,EUR,retrait,Tanger,carte,MasterCard,alimentaire,Web,1,0
T000424,C4373,08/08/2025,03:12:48,9516.66,USD,paiement en ligne,Tanger,guichet,Visa,voyage,Android,3,0
T000425,C9945,09/08/2025,01:04:43,3008.04,MAD,virement,Rabat,guichet,Amex,alimentaire,ATM,5,0
T000426,C3082,09/08/2025,20:07:37,966.07,MAD,virement,Rabat,en ligne,Cash,électronique,Web,5,0
T000427,C9967,09/08/2025,07:49:02,6010.49,EUR,retrait,Fès,en ligne,Amex,voyage,Android,10,0
T000428,C7748,09/08/2025,21:43:57,6255.31,,paiement en ligne,Fès,carte,Amex,voyage,iOS,2,0
T000429,C1417,09/08/2025,02:21:05,6502.62,EUR,retrait,Casablanca,en ligne,Visa,voyage,iOS,10,0
T000430,C9306,09/08/2025,01:22:43,2710.65,MAD,paiement en ligne,Marrakech,application mobile,MasterCard,santé,ATM,8,0
T000431,C9808,09/08/2025,01:37:16,200.35,MAD,paiement en ligne,Fès,carte,Visa,santé,iOS,5,0
T000432,C4974,09/08/2025,02:33:22,9651.9,USD,paiement en ligne,Rabat,application mobile,Amex,santé,iOS,7,0
T000433,C4267,09/08/2025,19:07:21,2546.39,EUR,virement,Casablanca,guichet,Cash,mode,Android,7,0
T000434,C1825,09/08/2025,11:57:35,,EUR,paiement en ligne,Casablanca,application mobile,Cash,électronique,iOS,5,0
T000435,C8668,09/08/2025,04:12:28,7080.97,MAD,retrait,Tanger,guichet,Cash,voyage,iOS,8,0
T000436,C6745,10/08/2025,14:56:54,6119.57,EUR,retrait,Rabat,application mobile,Visa,voyage,iOS,9,0
T000437,C1412,10/08/2025,15:41:29,3163.43,MAD,paiement en ligne,Casablanca,guichet,MasterCard,santé,iOS,4,0
T000438,C8543,10/08/2025,22:15:11,2747.41,EUR,paiement en ligne,Fès,en ligne,Visa,voyage,Android,4,0
T000439,C8587,10/08/2025,16:15:11,5996.8,EUR,virement,Rabat,application mobile,Cash,voyage,iOS,8,0
T000440,C1728,10/08/2025,07:19:02,8667.65,MAD,retrait,Casablanca,guichet,Amex,alimentaire,ATM,1,0
T000441,C8164,10/08/2025,15:29:44,9470.0,MAD,retrait,Rabat,application mobile,MasterCard,voyage,Web,4,0
T000442,C9867,10/08/2025,22:27:50,1103.76,MAD,paiement en ligne,Fès,carte,Visa,mode,ATM,6,0
T000443,C6988,10/08/2025,07:53:04,1590.54,EUR,paiement en ligne,Fès,en ligne,Visa,santé,Web,4,0
T000444,C3504,10/08/2025,19:39:55,9450.13,MAD,paiement en ligne,Rabat,guichet,MasterCard,électronique,ATM,6,0
T000445,C3967,10/08/2025,11:00:56,7378.53,EUR,paiement en ligne,Rabat,carte,MasterCard,électronique,Web,5,0
T000446,C3786,10/08/2025,20:19:05,8835.79,MAD,paiement en ligne,,application mobile,Amex,alimentaire,Web,9,0
T000447,C2122,11/08/2025,21:17:07,2066.19,EUR,virement,Rabat,carte,MasterCard,électronique,Web,10,0
T000448,C5079,11/08/2025,06:31:32,5896.48,EUR,paiement en ligne,Rabat,application mobile,Amex,électronique,Web,9,0
T000449,C2571,11/08/2025,20:15:11,7026.34,MAD,paiement en ligne,Casablanca,en ligne,Cash,santé,Android,4,0
T000450,C6073,11/08/2025,05:51:33,6817.11,MAD,retrait,Fès,carte,Cash,santé,ATM,4,0
T000451,C6104,11/08/2025,13:35:32,4111.11,,retrait,Marrakech,en ligne,Visa,mode,Web,8,0
T000452,C3143,11/08/2025,22:49:44,203.18,EUR,paiement en ligne,Casablanca,guichet,Cash,alimentaire,ATM,10,0
T000453,C7806,11/08/2025,01:40:20,5850.11,EUR,retrait,Marrakech,application mobile,Cash,électronique,iOS,4,0
T000454,C8357,11/08/2025,01:26:56,2568.36,MAD,paiement en ligne,Casablanca,application mobile,Amex,mode,Web,2,0
T000455,C4440,11/08/2025,08:00:10,4530.03,EUR,paiement en ligne,Rabat,en ligne,Visa,alimentaire,ATM,2,0
T000456,C4766,11/08/2025,02:51:22,9577.93,MAD,paiement en ligne,Marrakech,en ligne,MasterCard,électronique,Android,1,0
T000457,C6644,11/08/2025,03:17:54,4020.4,,virement,Rabat,guichet,Visa,électronique,ATM,5,0
T000458,C3914,12/08/2025,05:34:21,8406.03,USD,paiement en ligne,Fès,carte,Cash,santé,Web,6,0
T000459,C5968,12/08/2025,10:14:21,1925.98,MAD,paiement en ligne,Casablanca,application mobile,MasterCard,voyage,iOS,9,0
